experiment	branch	parent	commit	metric	secondary_metrics	status	duration_s	description
0	research/maximize-rag-vs-llm-only	-	a67bbb7	-0.0167	ctx_recall=0.250,ctx_prec=0.533,faith=0.525,d3=0.022	keep	0	BASELINE: hybrid 0.326, llm-only 0.343, hybrid losing by 1.67pp on 30 cases. RAGAs retrieval poor (recall 25%).
1	research/maximize-rag-vs-llm-only	0	-	-	-	thought	600	DIAGNOSTIC: B08-001 retrieval+response analysis. Found cross-encoder reranker demoting relevant chunks (Risk Assessment Guide Task A rank #1 hybrid, NOT chosen). Target chunk 3.2.2 ranks #30 (outside top_k=20). Model invents RPN formulas, cites retrieved sources falsely. Hypothesis: bypass cross-encoder.
2	research/maximize-rag-vs-llm-only	1	92a9e90	+0.222	ctx_recall=0.476,ctx_prec=1.000,faith=0.000,d3=0.000	keep	120	BYPASS RERANKER: B08-001 composite 0.389→0.611 (+0.222). D1/D2/D4/D5 all near-max; D3 still 0. ctx_recall +0.19. Risk Assessment Guide::Task A now in top-3 as expected. Reranker was the dominant retrieval failure on this case.
3	research/maximize-rag-vs-llm-only	2	-	-0.222	ctx_recall=0.571,ctx_prec=0.876,faith=0.000	discard	150	TOP_N=8 with bypass: B08-001 composite 0.611→0.389 (REGRESSED). D2/D4/D5 all dropped — too much context overwhelms model. ctx_recall +0.10 but quality of model response far worse. KEEP top_n=3.
4	research/maximize-rag-vs-llm-only	2	-	-	-	thought	0	METRIC REVISION: switching primary to "mean RAGAs context_recall" per Phase A focus. Composite demoted to tracked-only. Target: ctx_recall 0.250 → 0.70 across 30 cases. New measurement: standalone retrieval evaluator script (.lab/workspace/retrieval_eval.py) — no LLM, no Primus, just retrieval+RAGAs comparison. Re-score baseline + Exp #2 under new metric.
0v2	research/maximize-rag-vs-llm-only	-	a67bbb7	0.1417	prec=0.0889,f1=0.1029,r@k=0.3472,mrr=0.0564	keep	21	BASELINE re-scored under metric v2 (rerank ON, top_k=20, top_n=3): mean recall_topn=0.142 across 30 cases. recall_topk=0.347. Even at 20 candidates, only 35% of expected clauses are reachable.
2v2	research/maximize-rag-vs-llm-only	0v2	92a9e90	0.1528	prec=0.0778,f1=0.0998,r@k=0.3139,mrr=0.0564	keep	5	Exp #2 re-scored under metric v2 (rerank OFF, top_k=20, top_n=3): mean recall_topn=0.153, +0.011 vs baseline. Marginal at population scale — composite gain on B08-001 was outlier. recall_topk slightly worse (-0.033) — bypass doesn't help candidate set.
5	research/maximize-rag-vs-llm-only	2v2	-	0.1528	prec=0.0778,f1=0.0998,r@k=0.5028,mrr=0.0611	keep	5	TOP_K=50 rerank OFF: recall_topn unchanged (0.153) but recall_topk +0.189 to 0.503. Bigger funnel reaches more candidates but hybrid RRF top-3 doesn't change. Confirms binding constraint is RANKING not WIDTH.
5b	research/maximize-rag-vs-llm-only	5	-	0.1528	prec=0.0778,f1=0.0998,r@k=0.6167,mrr=0.0621	keep	5	TOP_K=100 rerank OFF: recall_topk hits 0.617 ceiling. Embedder cannot surface ~38% of expected clauses even at k=100. Hard ceiling — needs better embedder or query rewriting.
6	research/maximize-rag-vs-llm-only	5	-	0.1333	prec=0.0778,f1=0.0933,r@k=0.5028,mrr=0.0611	discard	41	TOP_K=50 rerank ON (ms-marco): recall_topn 0.133 (-0.020 vs same k rerank OFF). Cross-encoder hurts even with bigger candidate pool. ms-marco doesn't understand regulatory text. Need domain-tuned reranker.
7	research/maximize-rag-vs-llm-only	5	-	0.2500	prec=0.1333,f1=0.1667,r@k=0.5028,mrr=0.0611	keep	611	BGE-RERANKER-LARGE k=50 n=3: recall_topn 0.250 (+0.097 vs Exp #5; +0.108 vs baseline). FIRST BREAKTHROUGH on Phase A. Domain-tuned reranker surfaces ground-truth CCoP clauses where ms-marco fails. 8/30 cases at R@N>0. B08-001 canary still failing (R@K=1, R@N=0) — reranker has clauses but doesn't pick them. Latency: ~12× ms-marco.
8	research/maximize-rag-vs-llm-only	7	-	0.2278	prec=0.1222,f1=0.1511,r@k=0.6167,mrr=0.0621	discard	958	BGE-RERANKER-LARGE k=100 n=3 (compound test): recall_topn 0.228 (-0.022 vs Exp #7). REGRESSION. Bigger candidate pool HURT discrimination — reranker confused by more plausible-but-wrong passages. recall_topk +0.114 confirms more right answers exist in pool, but they're outranked by distractors. KEEP k=50 with bge-reranker-large.
9	research/maximize-rag-vs-llm-only	7	-	0.1583	prec=0.1000,f1=0.1144,r@k=0.5028,mrr=0.0611	discard	479	BGE-RERANKER-V2-M3 k=50 n=3: recall_topn 0.158 (-0.092 vs Exp #7). v2-m3 is multilingual-optimized; loses English regulatory-text precision. Lost 4 perfect cases (B22-015, B12-008, B02-012, B04-001), gained 1 (B02-014). bge-reranker-large is reranker family local max. (First run crashed OOM at 8192-token default; retry with max_length=512.)
10	research/maximize-rag-vs-llm-only	7	-	0.1528	prec=0.0889,f1=0.1098,r@k=0.4956,mrr=0.0293	discard	662	QUERY SUFFIX (CCoP boilerplate) bge-reranker-large k=50 n=3: recall_topn 0.153 (-0.097 vs Exp #7). Static suffix dilutes signal — boilerplate vocab dominates embedding. Lost 4 perfect cases. Query rewriting axis is ALIVE (different cases hit) but suffix is wrong implementation. Try HyDE next. 3-DISCARD GUARDRAIL TRIGGERED.
11	research/maximize-rag-vs-llm-only	7	-	0.2833	prec=0.1444,f1=0.1833,r@k=0.5300,mrr=0.0455	keep	548	DENSE-ONLY + bge-reranker-large k=50 n=3: recall_topn 0.283 (+0.033 vs Exp #7) — NEW BEST. Hybrid RRF was diluting dense signal with weaker sparse. Dense-only Pareto improvement: 0 losses, 1 gain (B09-019: 0.00->1.00). Cumulative: +0.141 vs baseline (~2× recall). Diagnostic-driven hypothesis matched within 0.001 of prediction.
12	research/maximize-rag-vs-llm-only	11	-	0.2570	prec=0.2414,f1=0.2378,r@k=0.7501,mrr=0.2663	keep	615	CORRECTED-GT re-measure: recall_topn 0.257 (-0.026 vs orig GT). recall_topk +0.220 (0.53→0.75) — embedder ceiling much higher than thought. Precision +0.097, F1 +0.054, MRR +0.221 (6× improvement). Original recall_topn was systematically pessimistic due to wrong/incomplete GT references in 24 of 30 cases (agent-team audit).
13	research/maximize-rag-vs-llm-only	12	-	0.3350	prec_at_C=0.221,f1_at_C=0.254,r@5=0.310,r@8=0.413,r@K=0.75	keep	635	MULTI-N METRICS: dynamic N=C (cardinality-fair) recall=0.335. Recall climbs 0.26 (N=3) → 0.31 (N=5) → 0.41 (N=8/10). N=3 is structurally pessimistic — mean GT cardinality 4.72 (max 8). Failure modes split: 7 cases reranker-fail (R@K high, R@C low), 6 cases embedder-fail (R@K low). Two distinct fix paths.
14	research/maximize-rag-vs-llm-only	13	-	0.3100	prec@C=0.282,f1@C=0.280,r@K=0.857,mrr=0.307	keep*	780	CONTEXTUAL CHUNKING (Anthropic) + breadcrumb headers: 495 chunks re-indexed in new collection ccop_clauses_contextual. Embedder ceiling JUMPED 0.75→0.857 (+0.107). Precision +0.081, F1 +0.026. But primary R@C dipped (-0.025) because bge-reranker scoring (query, augmented_text) instead of (query, original) — distracted by breadcrumbs. Bug uncovered; Exp 15 fix: pass original_text to reranker.
15	research/maximize-rag-vs-llm-only	14	-	0.3545	prec@C=0.237,f1@C=0.271,r@5=0.353,r@8=0.451,r@K=0.857,mrr=0.307	keep	695	DECOUPLE: reranker scoring (query, original_text) instead of (query, augmented_text). Embedder still uses augmented (preserves R@K=0.857). recall@C +0.020 vs #13 (best ever). recall@5 +0.043. recall@8 +0.037. Distance to 0.8 target: 0.445. Reranker now binding constraint at small N.
16	research/maximize-rag-vs-llm-only	15	-	0.4189	r@3=0.343,r@5=0.400,r@8=0.457,r@K=0.857,prec@C=0.221,f1@3=0.301,mrr=0.307	keep	1320	PARENT-CHILD AUTO-MERGE: window=10, min_siblings=2. Group sibling clauses of same parent in reranker top-10. recall@C +0.064 vs #15 (NEW BEST). 7 cases gained (B04-005 0.75→1.00, B02-012 0.50→1.00, B18-001 0.33→0.67, B14-001 0.20→0.40, B21-001 0.50→0.75, B04-001 0.67→0.83, B08-018 0.17→0.33). 0 lost. Cumulative +196% vs baseline. Distance to 0.8: 0.381. Vocab-mismatch cases still failing — Exp 17 = HyDE.
17	research/maximize-rag-vs-llm-only	16	-	0.4304	r@3=0.373,r@5=0.442,r@8=0.515,r@10=0.545,r@K=0.797,prec@3=0.326,f1@3=0.339,mrr=0.449	keep	680	HyDE (gpt-4o-mini hypothetical clause for retrieval; original query for reranker) + all stack. recall@C +0.012 (modest), but recall@5 +0.042, recall@8 +0.058, recall@10 +0.076, MRR +0.142 (huge). R@K -0.060 (HyDE sometimes drifts vocab). 4 gained (B07-015 0→0.25, B12-008 0.71→0.86, B13-003 0→0.25, B14-001 0.40→0.60). 3 lost. Cumulative +203%. Distance to 0.8: 0.370.
18	research/maximize-rag-vs-llm-only	17	-	0.4131	r@3=0.351,r@K=0.809,mrr=0.438	discard	720	MULTI-QUERY RRF (orig + HyDE merged): regressed -0.017 vs Exp #17. 2 gained / 4 lost. RRF dilutes HyDE's vocab-bridge wins by averaging in the original query's rankings. R@K only partially recovered (0.80 vs target 0.85+). Best stays Exp #17. (lab-only; nothing to reset.)
19	research/maximize-rag-vs-llm-only	17	-	0.4874	r@3=0.432,r@5=0.494,r@8=0.564,r@10=0.597,r@K=0.766,prec@3=0.306,f1@C=0.324,mrr=0.463	keep	710	HyDE + merge_window=15 (was 10) + parent-child merge: NEW BEST recall@C=0.487 (+0.057 vs #17). Pareto win across all recall@N. 4 gained big (B13-003 0.25→1.00, B09-019 0.40→1.00, B18-001 0.67→1.00, B05-016 0.20→0.60). 1 lost (B12-008 0.86→0.43). Cumulative +243% vs baseline. Distance to 0.8: 0.313.
20	research/maximize-rag-vs-llm-only	19	-	0.4764	r@3=0.379,r@K=0.757,prec@3=0.275,f1@3=0.306,mrr=0.524	discard	720	window=20 too aggressive. Recall@3 -0.053 vs #19; 5 lost vs 2 gained. Over-merging displaces strong matches at top-3. Window=15 is local optimum on this axis.
21	research/maximize-rag-vs-llm-only	19	-	0.4813	r@3=0.448,r@K=0.807,prec@3=0.307,f1@3=0.355,mrr=0.467	discard	720	DOC2QUERY (synthetic question chunks baked into index) + HyDE + window=15. R@C -0.006 (marginal regression on primary). R@K +0.041 (recovered from HyDE drift). 2 gained / 2 lost (B05-013 0.25→0.00, B13-003 1.00→0.50 lost — same vocab-mismatch cases HyDE was helping). Hypothesis: Doc2Query + HyDE conflict — chunks already have query-style language, HyDE drift no longer adds value.
22	research/maximize-rag-vs-llm-only	19	-	0.4545	r@3=0.378,r@5=0.433,r@K=0.852,prec@3=0.270,mrr=0.321	discard	720	DOC2QUERY w/o HyDE: R@C -0.033 vs #19. R@K=0.852 (HIGHEST EVER) but reranker doesn't surface right clauses. MRR collapsed -0.142. 5 gained/6 lost. 3rd consecutive discard — guardrail triggered. KEY INSIGHT: reranker is now binding constraint, R@K saturated. Need different reranker axis or hierarchical chunks.
23	research/maximize-rag-vs-llm-only	19	-	0.4384	r@3=0.369,r@K=0.886,prec@3=0.272,mrr=0.461	discard	1620	top_k=100 with full stack: R@C -0.049. R@K=0.886 (highest ever) but reranker drowned. R@K inversely correlated with R@C. 4th consecutive discard — one more = mandatory fork.
24	research/maximize-rag-vs-llm-only	19	-	0.4695	r@5=0.530,r@K=0.777,prec@3=0.380,f1@3=0.396,mrr=0.462	discard	720	RERANKER ON AUGMENTED Doc2Query text. R@C -0.018 (5th discard) but precision@3 +0.074 (BIG), f1@3 +0.048. Polarized: 5 big gains (B05-013/B12-008/B06-002 → 1.00, B23-001 → 0.67), 6 big losses (B01-007/B13-003/B18-001 → 0.00). 5-discard fork entry written. Last stay-on-branch attempt = ensemble rerankers (Exp 25).
25	research/maximize-rag-vs-llm-only	19	-	0.4649	r@5=0.517,r@8=0.596,r@K=0.830,prec@3=0.344,f1@3=0.372	discard	1440	RERANKER ENSEMBLE (avg orig + augmented scores). R@C -0.023 (6th discard). Smoothed polarization but couldn't beat Exp 19. Many secondary metrics up (R@5/8/K, prec@3, f1@3) but primary regressed. MANDATORY FORK from baseline.
26	research/no-reranker-stack	0	a67bbb7	0.4803	r@K=0.754,mrr=0.521,prec@C=0.267	interesting	60	NO RERANKER fork inversion. R@C 0.480 (-0.007 vs Exp 19, within noise). 8 gained / 10 lost / 11 same. POLARIZED — reranker is double-edged. New cases unlocked (B06-013 0→1.00, B07-022 0→1.00). Insight: dense rank and CE rank are COMPLEMENTARY, not competing.
27	research/no-reranker-stack	26	-	0.4995	r@5=0.550,r@8=0.596,r@10=0.632,r@K=0.788,prec@3=0.352,f1@3=0.380	keep	720	RRF ENSEMBLE OF DENSE+CE RANKS: NEW BEST R@C=0.4995. recall@5 +0.056 BIG. Captures complementary signals. 8 gained (B07-022 0→0.75, B23-001 0→0.67, B05-013 0.25→0.75) / 6 lost (B04-005 1.00→0.25, B13-003 1.00→0.50). Cumulative +252% vs baseline. Distance to 0.8: 0.30.
28	research/no-reranker-stack	27	-	0.5576	r@3=0.476,r@5=0.556,prec@3=0.366,f1@C=0.375	keep	720	RRF DENSE=1.0, CE=1.5: NEW BEST R@C=0.558. CE-favored RRF recovers Exp 19 wins while keeping new gains. 7 cases jumped to 1.00 (B13-003, B13-009, B18-001, B21-001, B01-007).
29	research/no-reranker-stack	28	-	0.5558	r@K=0.739	discard	720	RRF CE=2.0 over-corrects. CE=1.5 local optimum.
30	research/no-reranker-stack	28	-	0.4819	r@K=0.723	discard	720	Doc2Query collection + RRF: regressed -0.076. Doc2Query embeddings disrupt rank alignment.
31	research/no-reranker-stack	28	-	0.6090	r@5=0.609,r@8=0.694,r@10=0.704	keep	720	RRF + window=30 (was 15): R@C +0.052. Pareto-positive 7/1/21. B07-022 0.50→1.00, B04-005 0.75→1.00.
32	research/no-reranker-stack	31	-	0.6249	r@3=0.524,r@8=0.663	keep	720	window=50 (full pool): R@C +0.016. B12-016 0.00→0.86 finally cracked. NEW BEST.
33	research/no-reranker-stack	32	-	0.6534	r@3=0.547,r@5=0.624,r@8=0.710,r@K=0.776,f1@C=0.379	keep	720	WINDOW=40 SWEET SPOT: NEW BEST R@C=0.6534. Pareto Pareto win 5/2/22. Cumulative +361% vs baseline. Distance to 0.8: 0.147.
