
[CCoP 2.0::5.7.2(b)]  concepts=['AccessControlMechanism', 'Provision']
    KEPT     (Provision:Provision) -[MANDATES]-> (AccessControlMechanism:AccessControlMechanism)

[CCoP 2.0::5.2.1]  concepts=[]
    PROPOSED (CIIO:CIIO) -[HAS_OBLIGATION]-> (Account:Account)  phi_type_mismatch
    PROPOSED (CIIO:CIIO) -[IMPLEMENTS]-> (Account:Account)  phi_type_mismatch
    PROPOSED (Account:Account) -[MUST_CHANGE]-> (PrivilegedAccount:PrivilegedAccount)  phi_type_mismatch
    PROPOSED (Account:Account) -[MUST_CHANGE]-> (Service:Service)  phi_type_mismatch
    PROPOSED (Account:Account) -[MUST_CHANGE]-> (Application:Application)  phi_type_mismatch
    PROPOSED (Account:Account) -[MUST_CHANGE]-> (SystemAccount:Account)  phi_type_mismatch
    PROPOSED (Account:Account) -[MUST_CHANGE]-> (DefaultCredential:DefaultCredential)  phi_type_mismatch
    PROPOSED (Account:Account) -[MUST_CHANGE]-> (Password:Password)  phi_type_mismatch

[CCoP 2.0::5.12.4]  concepts=['CII', 'CIIO', 'ITSystem', 'SecurityControl']
    KEPT     (CIIO:CIIO) -[IMPLEMENTS]-> (SecurityControl:SecurityControl)
    KEPT     (CII:CII) -[CLASSIFIED_AS]-> (ITSystem:ITSystem)
    PROPOSED (CIIO:CIIO) -[IMPLEMENTS]-> (SecurityArchitecture:SecurityArchitecture)  phi_type_mismatch

[CCoP 2.0::5.2.2]  concepts=['CIIO', 'ReviewAccounts']
    KEPT     (CIIO:CIIO) -[HAS_OBLIGATION]-> (ReviewAccounts:Obligation)
    PROPOSED (CIIO:CIIO) -[IMPLEMENTS]-> (ReviewAccounts:Obligation)  phi_type_mismatch
    PROPOSED (ReviewAccounts:Obligation) -[MANDATES]-> (Account:Account)  phi_type_mismatch

[CCoP 2.0::3.2.1]  concepts=['CIIO', 'RiskManagement', 'cybersecurity risk appetite', 'cybersecurity risk assessment methodology', 'monitoring processes', 'process hazard analysis methodology', 'risk culture', 'roles and responsibilities']
    KEPT     (CIIO:CIIO) -[IMPLEMENTS]-> (RiskManagement:RiskManagement)
    KEPT     (CIIO:CIIO) -[HAS_OBLIGATION]-> (risk culture:Obligation)
    KEPT     (CIIO:CIIO) -[HAS_OBLIGATION]-> (roles and responsibilities:Obligation)
    KEPT     (CIIO:CIIO) -[HAS_OBLIGATION]-> (cybersecurity risk assessment methodology:Obligation)
    KEPT     (CIIO:CIIO) -[HAS_OBLIGATION]-> (monitoring processes:Obligation)
    KEPT     (CIIO:CIIO) -[HAS_OBLIGATION]-> (cybersecurity risk appetite:Obligation)
    KEPT     (CIIO:CIIO) -[HAS_OBLIGATION]-> (process hazard analysis methodology:Obligation)
    PROPOSED (CIIO:CIIO) -[RESPONSIBLE_FOR]-> (CybersecurityRisk:CybersecurityRisk)  phi_type_mismatch
    PROPOSED (SeniorManagement:SeniorManagement) -[RESPONSIBLE_FOR]-> (CybersecurityRisk:CybersecurityRisk)  phi_type_mismatch

[CCoP 2.0::3.2.2]  concepts=['CIIAsset', 'CybersecurityThreat', 'RiskAssessment']
    KEPT     (RiskAssessment:RiskAssessment) -[IDENTIFIES]-> (CybersecurityThreat:CybersecurityThreat)
    KEPT     (RiskAssessment:RiskAssessment) -[IDENTIFIES]-> (CIIAsset:CIIAsset)
    PROPOSED (CIIO:CIIO) -[MANDATES]-> (RiskAssessment:RiskAssessment)  phi_type_mismatch
    PROPOSED (RiskAssessment:RiskAssessment) -[HAS_LIKELIHOOD]-> (Likelihood:Likelihood)  phi_type_mismatch
    PROPOSED (RiskAssessment:RiskAssessment) -[HAS_IMPACT]-> (Impact:Impact)  phi_type_mismatch
    PROPOSED (RiskAssessment:RiskAssessment) -[RECORDED_IN]-> (RiskRegister:RiskRegister)  phi_type_mismatch
    PROPOSED (RiskAssessment:RiskAssessment) -[COVERS]-> (RiskScenario:RiskScenario)  phi_type_mismatch

